code,country,year,subject,level,sourcetest,n_res,hlo,hlo_se,hlo_m,hlo_m_se,hlo_f,hlo_f_se,region,incomegroup
AFG,Afghanistan,2016,reading,pri,EGRA,1,336.9097,3.3084581,341.31964,3.3919024,330.20947,3.3794193,South Asia,Low income
AGO,Angola,2011,reading,pri,EGRA,1,295.08517,3.3316104,296.31213,3.1189055,293.57336,3.4131124,Sub-Saharan Africa,Lower middle income
ALB,Albania,2000,math,sec,PISA,1,409.86145,3.5306752,401.4025,3.5309706,417.57526,3.512387,Europe & Central Asia,Upper middle income
ALB,Albania,2000,reading,sec,PISA,1,348.84952,3.2906682,319.07059,4.2485809,377.55408,2.6992188,Europe & Central Asia,Upper middle income
ALB,Albania,2000,science,sec,PISA,1,412.98178,2.8434012,403.59998,2.6946976,422.52643,2.7291172,Europe & Central Asia,Upper middle income
ALB,Albania,2009,math,sec,PISA,1,406.3959,3.994935,401.61951,4.1993427,411.42276,4.2046943,Europe & Central Asia,Upper middle income
ALB,Albania,2009,reading,sec,PISA,1,384.81659,4.0360794,354.51501,5.1270189,416.70712,3.9388292,Europe & Central Asia,Upper middle income
ALB,Albania,2009,science,sec,PISA,1,425.31537,3.7635503,413.04147,3.7658708,438.23291,3.6102533,Europe & Central Asia,Upper middle income
ALB,Albania,2012,math,sec,PISA,1,421.98486,2.7233467,421.68753,2.6584861,422.3027,2.6927288,Europe & Central Asia,Upper middle income
ALB,Albania,2012,reading,sec,PISA,1,393.96426,3.1957986,386.93176,3.8040428,401.48297,3.6945713,Europe & Central Asia,Upper middle income
ALB,Albania,2012,science,sec,PISA,1,431.09784,2.4377875,428.09573,2.3988473,434.30753,2.4182293,Europe & Central Asia,Upper middle income
ALB,Albania,2015,math,sec,PISA,1,439.38458,3.59901,435.12277,3.7062843,443.62924,3.845732,Europe & Central Asia,Upper middle income
ALB,Albania,2015,reading,sec,PISA,1,405.25876,4.1301827,375.75919,4.7558441,434.63962,3.8303223,Europe & Central Asia,Upper middle income
ALB,Albania,2015,science,sec,PISA,1,456.94852,2.9986036,446.32541,3.104001,467.5289,3.0709178,Europe & Central Asia,Upper middle income
ARE,United Arab Emirates,2009,math,sec,PISA,1,446.77121,2.9603021,443.80685,2.8719058,449.7265,2.9987175,Middle East & North Africa,High income
ARE,United Arab Emirates,2009,reading,sec,PISA,1,431.41611,2.8611801,402.39081,3.7394044,460.35339,2.5965335,Middle East & North Africa,High income
ARE,United Arab Emirates,2009,science,sec,PISA,1,466.11172,2.5399659,452.47348,2.5614054,479.70862,2.578032,Middle East & North Africa,High income
ARE,United Arab Emirates,2011,math,pri,TIMSS,1,434.38309,1.9566073,430.43936,3.4874752,438.34265,2.8035474,Middle East & North Africa,High income
ARE,United Arab Emirates,2011,math,sec,TIMSS,1,455.71964,2.0665264,447.2323,3.1255121,464.26364,2.681951,Middle East & North Africa,High income
ARE,United Arab Emirates,2011,reading,pri,PIRLS,1,438.59332,2.2295539,425.19962,3.4968367,452.05157,2.9785373,Middle East & North Africa,High income
ARE,United Arab Emirates,2011,science,pri,TIMSS,1,427.82901,2.4618309,418.6084,3.8404286,437.08658,3.3504939,Middle East & North Africa,High income
ARE,United Arab Emirates,2011,science,sec,TIMSS,1,464.55884,2.3916082,452.23108,3.3415155,476.96887,2.8993719,Middle East & North Africa,High income
ARE,United Arab Emirates,2012,math,sec,PISA,1,458.65338,2.955312,456.3483,2.9793549,460.86331,3.0037665,Middle East & North Africa,High income
ARE,United Arab Emirates,2012,reading,sec,PISA,1,441.70374,2.4962261,413.4563,3.8749614,468.78525,3.2109935,Middle East & North Africa,High income
ARE,United Arab Emirates,2012,science,sec,PISA,1,475.2597,2.5921216,462.92978,2.7404864,487.08066,2.7845833,Middle East & North Africa,High income
ARE,United Arab Emirates,2015,math,pri,TIMSS,1,451.58173,2.3889902,449.92673,3.3344426,453.41428,3.7919047,Middle East & North Africa,High income
ARE,United Arab Emirates,2015,math,sec,TIMSS,1,464.78333,1.9785804,458.55841,3.9452374,471.00565,3.412724,Middle East & North Africa,High income
ARE,United Arab Emirates,2015,reading,sec,PISA,1,433.5423,2.8705513,408.10532,3.8976295,458.28702,3.3133202,Middle East & North Africa,High income
ARE,United Arab Emirates,2015,science,pri,TIMSS,1,451.24164,2.7860398,444.38431,4.0082469,458.80087,4.3208098,Middle East & North Africa,High income
ARE,United Arab Emirates,2015,science,sec,TIMSS,1,476.64612,2.3531456,461.03809,4.3980846,492.24765,3.6237442,Middle East & North Africa,High income
ARE,United Arab Emirates,2016,reading,pri,PIRLS,1,450.10358,3.1509373,435.58279,4.3892379,465.41122,4.1636214,Middle East & North Africa,High income
ARG,Argentina,2000,math,sec,PISA,1,415.76468,9.0479441,414.23416,8.8850164,416.96472,8.5997496,Latin America & Caribbean,High income
ARG,Argentina,2000,reading,sec,PISA,1,418.2507,9.8643045,393.41177,7.6980433,437.45676,12.263405,Latin America & Caribbean,High income
ARG,Argentina,2000,science,sec,PISA,1,430.05307,7.458941,423.36438,7.7755723,435.1973,7.746408,Latin America & Caribbean,High income
ARG,Argentina,2001,reading,pri,PIRLS,1,419.52747,5.9351997,410.04199,6.4976554,428.17706,6.2377748,Latin America & Caribbean,High income
ARG,Argentina,2006,math,pri,LLECE,1,391.77469,5.5591478,396.57333,5.4556675,390.87485,5.3162503,Latin America & Caribbean,High income
ARG,Argentina,2006,math,sec,PISA,1,409.90109,6.0608268,416.20337,6.1844926,404.2926,6.0000744,Latin America & Caribbean,High income
ARG,Argentina,2006,reading,pri,LLECE,1,456.30649,4.2183175,453.58569,4.5222054,459.36633,4.2254205,Latin America & Caribbean,High income
ARG,Argentina,2006,reading,sec,PISA,1,373.72379,7.1717658,345.20233,8.2826548,399.10556,7.3716559,Latin America & Caribbean,High income
ARG,Argentina,2006,science,pri,LLECE,1,414.38934,4.1518526,418.22794,3.9494507,414.10501,4.1435747,Latin America & Caribbean,High income
ARG,Argentina,2006,science,sec,PISA,1,425.79004,5.6989107,419.91278,5.5919824,431.02036,5.6838589,Latin America & Caribbean,High income
ARG,Argentina,2009,math,sec,PISA,1,416.19849,4.1852565,421.37723,4.1601367,411.73178,4.3871703,Latin America & Caribbean,High income
ARG,Argentina,2009,reading,sec,PISA,1,398.26089,4.6335726,378.64688,5.0717635,415.17825,4.8699422,Latin America & Caribbean,High income
ARG,Argentina,2009,science,sec,PISA,1,434.09869,4.1917276,430.4866,4.1796684,437.21417,4.2400303,Latin America & Caribbean,High income
ARG,Argentina,2012,math,sec,PISA,1,416.53452,3.8138535,423.11969,3.9667912,410.31677,3.7028377,Latin America & Caribbean,High income
ARG,Argentina,2012,reading,sec,PISA,1,395.97913,3.7044311,376.62692,4.5151558,414.25153,3.6309054,Latin America & Caribbean,High income
ARG,Argentina,2012,science,sec,PISA,1,438.24969,3.6506641,435.26279,3.5097573,441.06995,3.6018057,Latin America & Caribbean,High income
ARG,Argentina,2013,math,pri,LLECE,1,408.69635,5.8016152,404.83548,5.5737567,412.49356,5.8644156,Latin America & Caribbean,High income
ARG,Argentina,2013,reading,pri,LLECE,1,457.41782,4.1624684,461.99847,4.1606388,452.77216,4.195107,Latin America & Caribbean,High income
ARG,Argentina,2013,science,pri,LLECE,1,424.65991,4.2533069,427.85248,4.3323832,421.34393,4.3302159,Latin America & Caribbean,High income
ARM,Armenia,2003,math,pri,TIMSS,1,455.92493,3.4888041,449.87051,3.8190138,462.2811,3.7139533,Europe & Central Asia,Upper middle income
ARM,Armenia,2003,math,sec,TIMSS,1,478.12717,2.9966133,472.77927,3.4175284,482.85638,3.2859781,Europe & Central Asia,Upper middle income
ARM,Armenia,2003,science,pri,TIMSS,1,436.52814,4.2987518,432.28024,4.7428775,440.98776,4.4757156,Europe & Central Asia,Upper middle income
ARM,Armenia,2003,science,sec,TIMSS,1,461.26666,3.4653509,454.50766,3.3855793,467.55676,4.011488,Europe & Central Asia,Upper middle income
ARM,Armenia,2007,math,pri,TIMSS,1,499.51285,4.2864528,495.30084,3.7278798,504.02466,5.6569877,Europe & Central Asia,Upper middle income
ARM,Armenia,2007,math,sec,TIMSS,1,498.67987,3.5051551,496.66794,3.4643047,500.69495,4.4145083,Europe & Central Asia,Upper middle income
ARM,Armenia,2007,science,pri,TIMSS,1,484.38684,5.684422,476.14435,5.164896,493.21603,7.2923665,Europe & Central Asia,Upper middle income
ARM,Armenia,2007,science,sec,TIMSS,1,487.96039,5.7548146,483.8121,5.1789017,492.11514,7.1062741,Europe & Central Asia,Upper middle income
ARM,Armenia,2011,math,pri,TIMSS,1,452.28207,3.5152159,450.73734,3.5611305,454.18399,4.0678763,Europe & Central Asia,Upper middle income
ARM,Armenia,2011,math,sec,TIMSS,1,466.58795,2.7264161,461.85974,3.2061875,471.52356,3.0669045,Europe & Central Asia,Upper middle income
ARM,Armenia,2011,science,pri,TIMSS,1,416.08319,3.794121,413.70871,4.3495712,418.81711,3.9561436,Europe & Central Asia,Upper middle income
ARM,Armenia,2011,science,sec,TIMSS,1,436.92465,3.1201029,427.88837,3.5745921,446.35727,3.504257,Europe & Central Asia,Upper middle income
AUS,Australia,2000,math,sec,PISA,1,550.43616,3.7276974,555.93713,3.6571984,544.87915,3.8321123,East Asia & Pacific,High income
AUS,Australia,2000,reading,sec,PISA,1,528.2785,3.5225484,512.64545,4.0415821,546.25122,4.7350602,East Asia & Pacific,High income
AUS,Australia,2000,science,sec,PISA,1,543.78528,3.2010207,542.84125,3.1886134,545.00287,3.2358117,East Asia & Pacific,High income
